Project Name,State,Capacity (MW),Status,Latitude,Longitude
Twin Creek wind farm,South Australia,185.0,pre-construction,-35.2965,149.1295
Twin Hills wind farm,Western Australia,930.0,announced,-29.7398,115.3876
Uaroo Renewable Energy Hub wind farm,,2000.0,shelved,-21.674,115.1335
Uley wind farm,South Australia,60.0,cancelled - inferred 4 y,-35.2965,149.1295
Ulladulla wind farm,New South Wales,1800.0,cancelled,-35.3649,150.8335
Upper Hunter Energy Park wind farm,New South Wales,80.0,pre-construction,-32.0392,150.7565
Uungula wind farm,New South Wales,414.0,construction,-32.5825,149.1772
Valley Of The Winds wind farm,New South Wales,800.0,pre-construction,-31.8544,149.645
Velella Offshore wind farm,Western Australia,3000.0,announced,-30.6558,114.8078
Vincent North wind farm,South Australia,59.0,cancelled,-34.7781,137.8617
Waddi wind farm,Western Australia,108.0,pre-construction,-30.5778,115.5156
Waitpinga wind farm,South Australia,50.0,cancelled,-35.5546,138.6235
Walcha Energy Project wind farm,New South Wales,2540.0,cancelled,-30.8333,151.7833
Walkaway wind farm,Western Australia,89.0,operating,-28.8988,114.869
Walkaway wind farm,Western Australia,41.0,cancelled - inferred 4 y,-32.3601,115.7848
Walkaway wind farm,Western Australia,310.0,cancelled - inferred 4 y,-32.3601,115.7848
Wambo Wind Farm Project,Queensland,252.0,construction,-26.5954,151.2463
Wambo Wind Farm Project,Queensland,300.0,pre-construction,-26.5954,151.2463
Wandoan wind farm,Queensland,600.0,announced,-26.1311,149.9002
Wanneroo Array Offshore wind farm,Western Australia,1500.0,announced,-32.1971,115.0614
Warracknabeal wind farm,Victoria,300.0,pre-construction,-36.4487,142.049
Warradarge wind farm,Western Australia,184.0,operating,-29.9384,115.5336
Waterloo wind farm (Australia),South Australia,111.0,operating,-33.9965,138.9152
Waterloo wind farm (Australia),South Australia,15.0,operating,-34.0011,138.911
Wattle Creek Energy Hub wind farm,New South Wales,250.0,cancelled,-34.5353,149.8876
Wattle Point wind farm,South Australia,91.0,operating,-35.1373,137.6977
Waubra wind farm,Victoria,192.0,operating,-37.3614,143.6026
West Musgrave Project wind farm,Western Australia,100.0,pre-construction,-26.1016,127.6667
Western Australia Offshore wind farm,,1000.0,shelved - inferred 2 y,-32.5601,115.4301
Western Green Energy Hub wind farm,Western Australia,35000.0,pre-construction,-31.4836,128.1351
Western Plains wind farm (Australia),Tasmania,50.0,cancelled,-40.7548,145.2798
Western Victoria Offshore wind farm,,1000.0,shelved - inferred 2 y,-38.6301,142.5101
White Rock wind farm,New South Wales,175.0,operating,-29.7718,151.5755
White Rock wind farm,New South Wales,216.0,shelved - inferred 2 y,-29.7518,151.7362
Wilan wind farm,New South Wales,800.0,pre-construction,-34.6884,143.8944
Willatook wind farm,Victoria,398.0,pre-construction,-38.1516,142.1411
Willogoleche wind farm,South Australia,91.0,operating,-33.3906,138.8553
Willogoleche wind farm,South Australia,27.0,operating,-33.3906,138.8553
Wimmera Plains Energy Facility wind farm,Victoria,312.0,pre-construction,-36.5522,142.3024
Windy Hill wind farm (Australia),Queensland,12.0,operating,-17.5892,145.5314
Windy Hill wind farm (Australia),Queensland,13.0,cancelled,-27.4714,153.0294
Winterbourne wind farm,New South Wales,700.0,pre-construction,-30.9852,151.5933
Woakwine wind farm,South Australia,274.0,pre-construction,-37.3843,140.0686
Wollongong Offshore wind farm,New South Wales,1660.0,announced,-34.8372,150.875
Wongalee wind farm,,1400.0,announced,-20.4766,144.5246
Wonthaggi wind farm,Victoria,12.0,operating,-38.6074,145.548
Woodlawn wind farm,New South Wales,48.0,operating,-35.0788,149.5655
Woolnorth wind farm,,140.0,announced,-40.7398,144.6895
Woolnorth wind farm,,140.0,announced,-40.7851,144.7294
Woolsthorpe wind farm,Victoria,72.0,pre-construction,-38.1642,142.3791
World's End wind farm,South Australia,180.0,cancelled - inferred 4 y,-33.6714,138.9301
Yabmana wind farm,South Australia,60.0,cancelled - inferred 4 y,-35.2965,149.1295
Yaloak South wind farm,Ballan,29.0,operating,-37.7165,144.242
Yambuk wind farm,Victoria,30.0,operating,-38.3053,142.0184
Yanco Delta wind farm,New South Wales,1500.0,pre-construction,-35.3141,145.7268
Yandin wind farm,Western Australia,214.0,operating,-30.6723,115.703
Yendon wind farm,Victoria,144.0,operating,-37.631,144.0225
Yindjibarndi Ngurra wind farm,Western Australia,300.0,announced,-21.8859,117.6209
Yindjibarndi Ngurra wind farm,Western Australia,300.0,announced,-21.8859,117.6209
Yindjibarndi Ngurra wind farm,Western Australia,1000.0,announced,-21.8859,117.6209
Yorke Peninsula wind farm,South Australia,600.0,announced,-35.0619,137.0979
